"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Tietzion, Terese","person","040-001966392","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000970.0x000287","","","","","","","","","","","","","","[1900-1903]","","1 item","","Western Manuscripts. Add MS 71934","","English","SUPPLEMENTARY BENTLEY PAPERS. Vol. XIV. Photograph album of George Bentley. includes:. f. 1 George Bentley, of Richard Bentley and Son, publishers: Photograph of George Bentley: n.d; f. 1v Conder: Photograph: n.d; f. 1v Watts Dunton: Photograph of Watts Dunton: n.d; f. 2 Reverend Charles Kingsley, author: Photograph of Rev. Charles Kingsley: n.d; f. 2 Anne Edwards: Photograph of Anne Edwards: n.d; f. 2 Giuseppe Garibaldi, Italian patriot: Photograph of Giuseppe Garibaldi: n.d; f. 2 J. R. Heron Maxwell, Captain, 15th KH: Photograph of J. R. Heron Maxwell: n.d; f. 3 William Ewart Gladstone, Prime Minister: Photograph of William Ewart Gladstone: n.d; f. 3 Charles Dickens, novelist: Photograph of Charles Dickens: n.d; f. 3v Eva Muller: Photograph of Eva Muller: 1898; f. 4 Otto Edward Leopold Bismarck, Prince Bismarck Schönhausen; German Chancellor: Photograph of Otto Edward Leopold Bismarck: n.d; f. 4 Alice Ellen Terry, GBE; actress: Photograph of Alice Ellen Terry: n.d; f. 4 Little, captain: Photograph of - Little: n.d; f. 5v Richard Bentley, publisher (I): Photograph of Richard Bentley: n.d; f. 6 J. Hissey, Author: Photograph of J. Hissey: n.d; f. 7 John Ruskin, author, artist and social reformer: Photograph of John Ruskin: n.d; f. 7v Sir Edward Shepherd Creasy, historian: Photograph of Sir Edward Shepherd Creasy: n.d; ff. 7, 17 Hugo Daubert: Photographs of Hugo Daubert: n.d; f. 8 Alfred Tennyson, 1st Baron Tennyson; Poet Laureate: Photograph of Alfred Tennyson: n.d; f. 8v Barone Carlo Marochetti,; sculptor; d.1869: Photograph of Barone Carlo Marochetti: n.d; f. 8v Johann Christoph Friedrich von Schiller, poet: Portrait of Johann Christoph Friedrich von Schiller: n.d; f. 8v Victoria of England; Albert, Prince Consort: Photograph of Prince Albert: n.d; f. 9 Fraser Duff: Photograph of Fraser Duff: n.d; f. 9 Thomas Carlyle, historian; d.1881: Photograph of Thomas Carlyle: n.d; f. 9 Algernon Charles Swinburne, poet: Photograph of Algernon Charles Swinburne: n.d; f. 9 Farbrother: Photograph of - Farbrother: n.d; f. 9v Louise Victoria Alexandra Dagmar, Princess Royal; wife of Alexander, 1st Duke of Fife: Photograph of Louise Victoria Alexandra Dagmar: n.d; f. 10 Maximilian I; Emperor of Mexico: Photograph of Maximilian I: n.d; f. 10 Tiemmus Wint: Photograph of Tiemmus Wint: n.d; f. 10 William Frend De Morgan, writer: Photograph of William Frend De Morgan: n.d; f. 10v Reverend W. Hickman: Photograph of Rev. W. Hickman: n.d; f. 11 Alfredo Piatti, cellist and composer: Photograph of Alfredo Piatti: n.d; f. 11 Olaf Svendgen: Photograph of Olaf Svendgen: n.d; f. 11 Richard Jefferies: Photograph of Richard Jefferies: n.d; f. 11 Robert Browning, poet: Photograph of Robert Browning: n.d; f. 13 Lucy Rosamund Bentley, wife of Richard Bentley, publisher (II): Photograph of Lucy Rosamund Bentley: n.d; f. 13 Persia, Shahs of. Pahlevy: Photograph of Shah of Persia: n.d; f. 13 George William Frederick Charles, 2nd Duke of Cambridge: Photograph of 2nd Duke of Cambridge: n.d; ff. 14, 21 Henry John Temple, 3rd Viscount Palmerston; Prime Minister: Photographs of Henry John Temple: n.d; f. 15 Ernest Christopher Dowson, poet: Photograph of Ernest Christopher Dowson: n.d; f. 15v George MacDonald, author: Photograph of George MacDonald: n.d; f. 17v Anne Bentley, wife of George Bentley, publisher: Photograph of Anne Bentley: n.d; f. 19 Francis Joseph Leopold Frederick Teck, Prince of: Photograph of Prince of Teck: n.d; f. 19 B. Foster: Photograph of B. Foster: n.d; f. 20 Frederic Leighton, Baron Leighton; PRA: Photograph of Frederic Leighton: n.d; f. 20 Robert Louis Stevenson, writer: Photograph of Robert Louis Stevenson: n.d; f. 21 Terese Tietzion: Photograph of Terese Tietzion: n.d; f. 21v Ralph Waldo Emerson, American essayist: Photograph of Ralph Waldo Emerson: n.d; f. 22 Charlotte Brontë, author: Portrait of Charlotte Brontë: n.d; f. 22 Victoria of England: Photograph of Queen Victoria: n.d; f. 22 Richard Le Gallienne, author: Photograph of Richard Le Gallienne: n.d",""
"Time in literature","general term","017710576","Monograph","Language material ; Text","Volume","GBB610248","","9781472453860","","","","","Hoeveler, Diane Long, editor [person] ; Morse, Deborah Denenholz, 1949-, editor [person]","Time, space, and place in Charlotte Brontë","","","","England","Farnham, Surrey","Ashgate","2016","","1 volume, 24 cm","823.8","","","English","Additional physical form: ebook version. 9781317010081",""
"Time in literature","general term","017711706","Monograph","Language material ; Text","Online resource (ebook)","GBB611373","","9781472453877 ; 9781472453884","","","","","Hoeveler, Diane Long, editor [person] ; Morse, Deborah Denenholz, 1949-, editor [person]","Time, space, and place in Charlotte Brontë","","","","England","Farnham, Surrey","Ashgate","2016","","1 online resource","823.8","","","English","Additional physical form: Print version. 9781472453860",""
"Time in literature","general term","019642287","Monograph","Language material ; Text","Volume","GBB9J9017","","9780367880927","","","","","Hoeveler, Diane Long, editor [person] ; Morse, Deborah Denenholz, 1949-, editor [person]","Time, space, and place in Charlotte Brontë","","","","England","London","Routledge","2019","","1 volume, 24 cm","823.8","","","English","",""
"Trails--England--Humberside","general term","009485681","Monograph","Language material ; Text","Volume","GB9857191","","9780953084104","Petersen, Rhonda","","person","","Petersen, Rhonda [person]","The Brontës by the sea : including walks : an account of Charlotte and Anne Brontë's visits to the East and North Yorkshire Coast","","","","England","Bridlington","Bretlington Publishing","1997","","72 pages, illustrations, maps, portraits, 21 cm","796.51094283","YC.1998.a.3625","Guidebook","English","",""
"Trails--England--North Yorkshire","general term","009485681","Monograph","Language material ; Text","Volume","GB9857191","","9780953084104","Petersen, Rhonda","","person","","Petersen, Rhonda [person]","The Brontës by the sea : including walks : an account of Charlotte and Anne Brontë's visits to the East and North Yorkshire Coast","","","","England","Bridlington","Bretlington Publishing","1997","","72 pages, illustrations, maps, portraits, 21 cm","796.51094283","YC.1998.a.3625","Guidebook","English","",""
"Translating and interpreting--England--History--19th century","general term","015809283","Monograph","Language material ; Text","Volume","GBB159463","","9781409426530","Scholl, Lesa","","person","","Scholl, Lesa [person]","Translation, authorship, and the Victorian professional woman : Charlotte Brontë, Harriet Martineau and George Eliot","","","","England ; United States of America","Farnham","Ashgate","2011","","vii, 213 pages, 24 cm","823.809","YC.2011.a.12345","","English","",""
"Translating and interpreting--England--History--19th century","general term","017785652","Monograph","Language material ; Text","Online resource","GBB6H9801","","9781317007081","Scholl, Lesa","","person","author","Scholl, Lesa, author [person]","Translation, Authorship and the Victorian Professional Woman : Charlotte Brontë, Harriet Martineau and George Eliot","","","","","","Routledge","2016","","1 online resource (222 pages)","823.809","ELD.DS.50887","","English","",""
"Translating and interpreting--Germany","general term","007491875","Monograph","Language material ; Text","Volume","","","9783823340928","Hohn, Stefanie","","person","","Hohn, Stefanie [person]","Charlotte Brontës Jane Eyre in deutscher Übersetzung : Geschichte eines kulturellen Transfers","","Transfer","13 [Transfer]","Germany","Tübingen","G. Narr","1998","","236 pages, illustrations, 23 cm","823.8","YA.2000.a.38093","","German","",""
"Travel","general term","018223627","Monograph","Language material ; Text","Online resource","GBB726009","","9780720614442 ; 9780720614466","MacEwan, Helen","","person","","MacEwan, Helen [person]","The Brontës in Brussels","","","","England","London","Peter Owen","2014","","1 online resource (211 pages)","823.809","ELD.DS.117441","","English","",""
"Triangles (Interpersonal relations)--Fiction","general term","008394095","Monograph","Language material ; Text","Volume","GBA1Z3295","","9780754043751","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","The professor","","","","England ; United States of America","Bath ; Thorndike, Maine","Chivers Press ; G.K. Hall","2001","Large print edition","379 pages (large print), 24 cm","823.8","LT.2012.x.3861","Fiction","English","Standard print edition originally published: London : Smith, Elder & Co, 1857",""
"Triangles (Interpersonal relations)--Fiction","general term","009054001","Monograph","Language material ; Text","Volume","GBA419504","","9780140433111","Brontë, Charlotte","1816-1855","person","","Glen, Heather [person] ; Brontë, Charlotte, 1816-1855 [person]","The professor","","Penguin classics","","England","London","Penguin","2003","","318 pages, 20 cm","823.8","","Fiction","English","Reissue of 1989 printing of 1948 reprinted with additional chronology. _ Originally published: London : Smith, Elder, 1857",""
"Triangles (Interpersonal relations)--Fiction","general term","011942498","Monograph","Language material ; Text","Volume","GB9103530","","9780192827418","Brontë, Charlotte","1816-1855","person","","Smith, Margaret, 1931- [person] ; Rosengarten, Herbert [person] ; Brontë, Charlotte, 1816-1855 [person]","The professor","","The World's classics","","England","Oxford","Oxford University Press","1991","","xxxvii, 292 pm, 19 cm","823.8","H.92/926","Fiction ; Romance fiction","English","",""
"Triangles (Interpersonal relations)--Fiction","general term","012597613","Monograph","Language material ; Text","Volume","GB8705652","","9780198126942","Brontë, Charlotte","1816-1855","person","","Smith, Margaret, 1931- [person] ; Rosengarten, Herbert [person] ; Brontë, Charlotte, 1816-1855 [person]","The professor","","The Clarendon edition of the novels of the Brontës","","England","Oxford","Clarendon","1987","","760 pages, 1 map, 22 cm","823.8","YC.1988.a.731","Fiction ; Romance fiction","English","",""
"Triangles (Interpersonal relations)--Fiction","general term","015803299","Monograph","Language material ; Text","Volume","GBB216377","","9781907727467","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","The professor","","Bibliolis classics","","England","London","Bibliolis","2010","","258 pages, 21 cm","823.8","H.2011/.10304","Fiction ; Romance fiction","English","",""
"Triangles (Interpersonal relations)--Fiction","general term","018269875","Monograph","Language material ; Text","Online resource (ebook)","GBB750305","","9780191847424","Brontë, Charlotte","1816-1855","person","author","Rosengarten, Herbert, editor [person] ; Smith, Margaret, 1931-, editor [person] ; Brontë, Charlotte, 1816-1855, author [person]","The professor","","The Clarendon edition of the novels of the Brontës","","England","Oxford","Oxford University Press","2017","","1 online resource","823.8","","Fiction","English","Additional physical form: Print version. 9780198126942 ; Previously issued in print: 1987",""
"Triangles (Interpersonal relations)--Fiction","general term","018637161","Monograph","Language material ; Text","Volume","GBB7N3818","","9781847497178","Brontë, Charlotte","1816-1855","person","author","Brontë, Charlotte, 1816-1855, author [person]","The professor","","","","England","Richmond","Alma Classics","2018","","275 pages, 20 cm","823.8","H.2019/.5146","Fiction","English","",""
"Triangles (Interpersonal relations)--Fiction","general term","019055420","Monograph","Language material ; Text","Volume","GBB8H2177","","9781788883696","Brontë, Charlotte","1816-1855","person","author","Brontë, Charlotte, 1816-1855, author [person]","The professor","","","","England","London","Arcturus","2018","","1 volume, 18 cm","823.8","","Fiction","English","",""
"Triangles (Interpersonal relations)--Fiction","general term","019347647","Monograph","Language material ; Text","Volume","GBB962836","","9781788882101","Brontë, Charlotte","1816-1855","person","author","Brontë, Charlotte, 1816-1855, author [person]","The professor","","","","England","London","Arcturus","2019","","1 volume, 20 cm","823.8","","Fiction","English","",""
"Triangles (Interpersonal relations)--Juvenile fiction","general term","015455389","Monograph","Language material ; Text","Volume","GBB002128","","9780754822240","Brontë, Charlotte","1816-1855","person","","Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","Wuthering Heights","Classic library","","England","London","Lorenz","2010","","1 volume, colour illustrations, 24 cm","823.8","","Children's fiction","English","",""
"Trollope, Anthony, 1815-1882","person","013428967","Monograph","Language material ; Text","Volume","","","9780814210161 ; 9780814251522","Ruth, Jennifer","","person","","Ruth, Jennifer [person]","Novel professions : interested disinterest and the making of the professional in the Victorian novel","","Victorian critical interventions","","United States of America","Columbus","Ohio State University Press","2006","","viii, 151 pages, illustrations, 24 cm","823.809352","YD.2008.a.2502 ; m06/.20447","","English","",""
